rid,x,y,KMeans_Labels
-115591841#5,4302.872,3807.256,16
-115591841#7,4296.44,3865.6366666666654,16
-115591841#9,4290.256666666667,3921.7533333333336,16
-115591846#0,4084.75,4219.4,16
-115591846#1,4153.855,4209.754999999999,16
-115591848#0,4464.775,4279.77,16
-115591848#1,4464.715,4324.639999999999,16
-115591848#3,4462.85,4375.205,16
-115591849#1,4382.014999999999,4144.055,16
-115591849#2,4378.535,4196.575000000001,16
-115591849#3,4377.38,4229.06,16
-115591849#4,4377.885,4259.535,16
-115591849#6,4376.610000000001,4295.27,16
-115591849#7,4373.685,4332.4400000000005,16
-115591849#8,4371.865,4383.344999999999,16
-115591857#0,4227.29,4117.88,16
-115591857#2,4231.1,4158.255,16
-115591857#3,4232.34,4188.445,16
-115591857#4,4236.98,4220.54,16
-116436232#1,6872.013333333333,4254.2266666666665,19
-116436234#0,6799.656666666667,4152.703333333334,19
-116436234#1,6848.45,4140.969999999999,19
-116436235#0,6776.285,4166.299999999999,19
-116436235#1,6747.514999999999,4170.08,19
-116436235#2,6731.16,4172.145,19
-116436235#4,6652.293333333334,4184.213333333333,19
-116436236#0,6817.615,3892.865,19
-116436236#1,6823.755,3939.535,19
-116436238,6794.67,4176.275,19
-116436239#1,7005.886666666666,4243.990000000001,19
-116436239#2,6975.139999999999,4241.24,19
-116436241#0,6950.345,4797.865,24
-116436241#1,6954.8150000000005,4815.955,24
-116436241#2,6962.98,4849.0,24
-116436241#3,6970.0,4877.375,24
-116436241#4,6975.755,4900.530000000001,24
-116436241#5,6981.450000000001,4923.27,24
-116436241#6,6989.896666666667,4951.67,24
-116436243,4365.825,3082.835,11
-116436244,4887.29,2593.776666666666,12
-116436245#1,6725.602000000001,4215.91,19
-116436245#3,6874.23,4204.596666666667,19
-116436247#1,6925.18,4162.613333333334,19
-116436247#2,6981.67,4160.424999999999,19
-116436247#3,7051.620000000001,4154.7,19
-116436250#0,4679.73,2397.275,7
-116436250#3,4649.815,2274.9,7
-116436252,7111.885,4710.395,24
-116436253#1,6883.6675,4108.44,19
-116436254#0,6782.205,4320.639999999999,19
-116436254#2,6856.66,4327.983333333334,19
-116436256#0,7087.81,4546.99,24
-116436256#1,7030.035,4555.79,24
-116436256#2,6986.375,4562.525,24
-116436257#0,6849.84,4166.63,19
-116436257#1,6864.705,4165.055,19
-116436259#0,6852.945,4881.31,24
-116436259#2,6918.245000000001,4872.545,24
-116436260#0,3929.325,2716.86,11
-116436260#1,3904.2,2748.46,11
-116436260#2,3877.86,2782.21,11
-116436262#0,6956.965,4478.655000000001,19
-116436262#1,6966.53,4535.36,24
-116436262#2,6977.299999999999,4600.67,24
-116436262#3,6989.475,4644.84,24
-116436263#0,6810.295,4102.95,19
-116436263#2,6814.385,4134.775,19
-116436265#0,6760.04,4151.16,19
-116436265#1,6784.92,4129.185,19
-116436266#1,6909.343333333333,4646.743333333333,24
-116436267,6860.885,4171.165,19
-116436269#0,3880.72,2686.986666666667,11
-116436269#1,3858.925,2712.5,11
-116436269#2,3832.705,2745.825,11
-116436271#1,6675.389999999999,4203.543333333334,19
-116436271#2,6806.6900000000005,4187.469999999999,19
-116436271#3,6837.335,4183.4,19
-116436271#5,6890.21,4174.556666666666,19
-116436273#2,7015.1175,3821.055,19
-116436273#4,6952.746666666666,3825.693333333333,19
-116436276#0,3827.425,2713.46,11
-116436276#1,3869.7,2748.2200000000003,11
-116436276#2,3915.785,2784.76,11
-116436276#3,3961.73,2819.99,11
-116436277#0,7044.955,4879.845,24
-116436277#1,6950.99,4890.200000000001,24
-116436279#0,6822.8150000000005,4786.67,24
-116436279#1,6833.01,4853.225,24
-116436279#10,6868.36,5100.674999999999,24
-116436279#12,6884.28,5193.01,24
-116436279#13,6907.605,5353.87,24
-116436279#14,6919.04,5429.09,24
-116436279#2,6841.005,4897.145,24
-116436279#4,6846.115,4936.995,24
-116436279#5,6848.469999999999,4968.085,24
-116436279#6,6854.745,5012.225,24
-116436279#7,6859.335,5042.26,24
-116436279#8,6861.49,5056.445,24
-116436279#9,6864.675,5077.04,24
-116436281#1,6751.144285714286,4041.008571428572,19
-116436285#1,6909.2733333333335,4576.266666666666,24
-116436286#3,6680.488,4316.584,19
-116436286#5,6858.086666666667,4291.46,19
-1188407892#0,5192.816666666667,4054.045,17
-1188407892#1,5256.4,4059.45,17
-1188407893,5231.7325,4051.35125,17
-1189992653#0,3809.805,3713.255,16
-1189992653#1,3812.0,3705.49,16
-1195177983,4031.3325,1505.62,6
-1195177984#0,4010.72625,1573.1675,6
-1199699775,3493.371428571428,2002.2342857142853,5
-1199720001,3586.784,1998.804,6
-1199720003#0,3556.972,1975.308,6
-1199720003#1,3591.613333333333,1994.1466666666668,6
-1199720003#2,3601.51,2048.9620000000004,6
-1199720004,3533.3175,2006.2875,5
-120468867#0,6522.139999999999,5473.280000000001,24
-120468867#1,6468.065,5489.99,24
-120468868,6384.625,5453.745,23
-120468869#0,6387.645,5525.389999999999,28
-120468869#2,6379.688,5493.183999999999,23
-120469239#0,5968.110000000001,3539.083333333333,18
-120469239#1,5993.3533333333335,3586.786666666667,18
-120469241#0,6018.344999999999,3567.5550000000003,18
-120469241#1,5932.194,3588.61,18
-120469241#2,5965.77,3315.3328571428574,13
-120469243#0,6169.04,3588.58,18
-120469243#2,6150.296666666666,3544.57,18
-120525519#1,3526.1733333333336,5578.94,25
-120525520#1,3409.8,5027.316666666667,20
-120525524#0,3476.825,5069.219999999999,20
-120525524#3,3462.226666666667,5033.943333333334,20
-120525526,3481.08,5628.705,25
-120525529,3377.07,5222.365,20
-120525530#4,3727.863333333333,4695.607777777778,21
-120525530#5,3646.47,4709.764999999999,21
-120525531,3479.78,5647.389999999999,25
-120525533,3352.81,5227.28,20
-120525535,3567.0550000000003,4971.7,21
-120525537#0,3256.1325,4102.4775,15
-120525537#11,3431.1566666666663,4720.803333333333,20
-120525537#2,3285.335,4191.49,15
-120525537#3,3300.4300000000003,4251.71,15
-120525537#5,3325.773333333333,4339.71,15
-120525537#6,3343.145,4411.58,15
-120525537#7,3361.8100000000004,4484.33,15
-120525537#8,3382.44,4558.35,20
-120525537#9,3402.305,4625.745,20
-120525539#1,3264.113333333333,5085.93,20
-120525539#2,3174.25,5152.76,20
-120525543#1,3271.566666666667,5505.786666666667,25
-120525543#3,3282.52,5415.09,20
-120525547#0,3661.145,4654.575,21
-120525547#1,3614.32,4662.5,21
-120525547#2,3558.15,4671.855,21
-120525548#0,3541.905,4952.375,20
-120525548#2,3542.59,4994.113333333334,21
-120525551#0,3455.36,5093.81,20
-120525551#2,3504.22,5071.836666666667,20
-120525552#1,3356.17,5555.43,25
-120525555#0,3463.8050000000003,5614.49,25
-120525555#1,3462.445,5636.835,25
-120525555#2,3461.07,5659.04,25
-120525556#2,3628.245,5526.115,26
-120525556#5,3632.375,5448.95,21
-120525556#7,3634.14,5413.453333333334,21
-120525556#8,3637.67,5382.360000000001,21
-120525558#0,3496.89,5662.205,25
-120525558#1,3498.395,5639.345,25
-120525558#2,3498.52,5616.264999999999,25
-120525559#3,3215.853333333333,5262.305,20
-120525559#9,3208.962857142857,5340.818571428572,20
-120525563#2,3161.888333333334,5195.555,20
-120525563#4,3275.653333333333,5108.623333333333,20
-120525564#1,3434.71,5568.1,25
-120525564#3,3432.4075000000003,5630.1775,25
-120525569#1,3106.1675,5122.62375,20
-120525569#3,3216.1940000000004,5044.647999999999,20
-120525572#0,3495.105,5590.375,25
-120525572#1,3497.96,5572.35,25
-120525572#2,3498.71,5558.65,25
-120525573#1,3315.9366666666665,5192.923333333333,20
-120525573#2,3346.625,5181.875,20
-120525573#3,3371.37,5171.575000000001,20
-120525573#4,3398.3900000000003,5160.32,20
-120525573#5,3431.15,5146.674999999999,20
-120525574#1,3292.763333333334,5472.670000000001,20
-120525574#10,3532.4466666666667,5487.436666666667,20
-120525574#13,3567.1925,5489.507500000001,21
-120525574#15,3610.533333333333,5491.88,21
-120525574#18,3660.42,5495.145,21
-120525574#19,3728.155,5501.235000000001,26
-120525574#21,3782.893333333333,5503.046666666666,26
-120525574#3,3316.52,5474.546666666666,20
-120525574#4,3352.335,5478.34,20
-120525574#5,3383.985,5480.360000000001,20
-120525574#6,3408.575,5481.475,20
-120525574#7,3442.365,5483.34,20
-120525574#8,3488.995,5486.165,20
-120525576#1,3333.61,5510.166666666667,25
-120525576#3,3344.2233333333334,5421.843333333333,20
-120525579#1,3164.17,5040.216666666666,20
-120525579#10,3265.116,5240.987999999999,20
-120525579#13,3263.535,5345.3525,20
-120525579#2,3197.822,5085.078,20
-120525579#3,3213.86,5108.655000000001,20
-120525579#5,3231.9233333333336,5129.563333333333,20
-120525579#7,3247.2000000000003,5150.196666666667,20
-120525583#1,3313.3566666666666,5586.086666666667,25
-120525583#2,3380.305,5594.0650000000005,25
-120525583#3,3421.02,5597.9400000000005,25
-120525583#4,3444.105,5600.129999999999,25
-120525583#5,3459.55,5601.6,25
-120525583#6,3480.075,5602.105,25
-120525583#9,3526.83,5607.066666666667,25
-120528141,3403.73,5454.780000000001,20
-120528144#1,3625.393333333333,5574.576666666667,26
-120528146,3446.365,5454.0,20
-120528148#0,3588.855,5667.7575,26
-120528148#1,3577.5,5638.09,26
-120528149#1,3610.973333333333,5399.6033333333335,21
-120528151#1,3517.97,5439.373333333333,20
-120528154,3439.67,5506.37,25
-120528156,3588.855,5667.7575,26
-120528164#1,3564.1666666666665,5468.903333333333,21
-120528172#1,3623.46,5078.795,21
-120528178#1,3564.92,5440.066666666667,21
-120528179#0,3369.61,4630.195,20
-120528179#2,3396.873333333333,4722.419999999999,20
-120528196#1,3294.5375,4790.889999999999,20
-120528210#0,3595.4,5482.115,21
-120528210#1,3596.51,5456.255,21
-120528210#3,3596.25,5428.7733333333335,21
-120528219,3448.66,5436.18,20
-120528221#0,3388.675,4823.085,20
-120528221#2,3267.8625,4889.9475,20
-120528221#4,3101.4933333333333,4984.5841666666665,20
-120588455#0,4528.389999999999,5568.85,27
-120588455#2,4529.213333333333,5502.696666666667,27
-120588455#3,4533.58,5427.275,22
-120588455#4,4534.009999999999,5364.723333333333,22
-120588455#5,4533.743333333333,5320.14,22
-120588455#6,4537.035,5250.865,22
-120588455#7,4540.255,5213.2,22
-120588457#0,4417.57,5575.56,26
-120588457#1,4419.865,5546.780000000001,26
-120588457#10,4438.504999999999,5318.21,21
-120588457#11,4441.6,5280.33,21
-120588457#2,4420.63,5519.42,26
-120588457#4,4423.9400000000005,5482.0650000000005,21
-120588457#5,4428.44,5446.65,21
-120588457#6,4430.264999999999,5421.514999999999,21
-120588457#7,4431.84,5399.91,21
-120588457#8,4433.39,5378.65,21
-120588457#9,4435.295,5356.935,21
-120588459#1,4352.84,5571.695,26
-120588459#10,4379.17,5315.01,21
-120588459#11,4382.360000000001,5277.125,21
-120588459#12,4385.725,5238.405000000001,21
-120588459#13,4389.7733333333335,5175.94,21
-120588459#14,4400.44,5076.195,21
-120588459#15,4406.445,5006.360000000001,21
-120588459#16,4414.255,4922.425,21
-120588459#2,4356.685,5543.06,26
-120588459#3,4359.575,5512.21,26
-120588459#4,4362.98,5478.040000000001,21
-120588459#5,4365.9400000000005,5449.395,21
-120588459#6,4367.555,5433.865,21
-120588459#7,4369.2,5416.685,21
-120588459#8,4371.3150000000005,5395.38,21
-120588459#9,4374.69,5363.125,21
-120588460,4570.135,5235.865,22
-120588461,4440.29,4923.93,21
-120588462,4397.18,5430.860000000001,21
-120588463,4472.15,4925.764999999999,21
-120588464,4553.75,5393.605,22
-120588465,4566.555,5311.425,22
-120588466,4398.885,5410.344999999999,21
-120588467,4435.545,5506.32,26
-120588468,4411.935,5369.165,21
-120588469,4400.905000000001,5387.955,21
-120588470,4409.105,5293.415,21
-120588472,4343.514999999999,5440.62,21
-120588473,4390.905000000001,5498.71,26
-120588474,4458.116,5236.976000000001,21
-120588475#0,4361.585,5212.59,21
-120588475#1,4301.915,5209.67,21
-120588476#0,4571.905,5194.04,22
-120588476#1,4520.65,5190.955,22
-120588477#0,4278.535,5488.45,21
-120588477#1,4273.639999999999,5554.530000000001,26
-120588478#0,4606.84,5573.35,27
-120588478#1,4608.645,5528.0650000000005,27
-120588478#2,4609.860000000001,5490.155000000001,22
-120588478#3,4611.385,5409.305,22
-120588479#0,4620.475,5205.045,22
-120588479#1,4619.9400000000005,5313.4400000000005,22
-120588480#0,4333.700000000001,5556.38,26
-120588480#1,4385.52,5559.1,26
-120588480#2,4444.3,5562.545,26
-120588481#0,4421.895,4964.17,21
-120588481#1,4451.030000000001,4966.360000000001,21
-120588481#2,4492.715,4969.58,21
-120588482#0,4573.81,5372.395,22
-120588482#1,4570.905000000001,5428.2,22
-120588482#3,4568.376666666666,5507.336666666667,27
-120588482#4,4563.459999999999,5570.915,27
-120588483,4463.4400000000005,5404.405000000001,21
-120588485#0,4603.525,5312.4400000000005,22
-120588485#1,4605.105,5253.924999999999,22
-120588485#2,4605.049999999999,5216.675,22
-120588485#3,4606.045,5166.110000000001,22
-120588485#4,4607.56,5068.825000000001,22
-120588485#5,4608.6,4984.785,22
-120588485#6,4609.73,4925.67,22
-120588486#0,4314.125,5569.780000000001,26
-120588486#1,4316.1,5541.219999999999,26
-120588486#2,4319.67,5492.0,21
-120588486#3,4322.9400000000005,5446.639999999999,21
-120588486#4,4327.56,5388.505,21
-120588486#5,4334.055,5299.415,21
-120588486#6,4337.639999999999,5236.015,21
-120588503#11,4499.095,4885.9475,21
-120588503#12,4458.08,4882.935,21
-120588503#13,4429.305,4881.764999999999,21
-120588503#15,4353.163333333333,4880.436666666667,21
-120588503#16,4277.4,4875.81,21
-120588503#17,4227.093333333333,4875.389999999999,21
-120588503#2,4862.875,4901.7175,22
-120588503#5,4688.6675,4894.245,22
-120588503#8,4620.22,4891.176666666666,22
-120588503#9,4566.98,4887.1,22
-120588687,4631.866666666667,5514.463333333333,27
-120588688,4604.700000000001,5632.305,27
-120588692#0,4495.99,5693.6,26
-120588692#1,4576.96,5697.91,27
-120588692#2,4644.23,5701.535,27
-120588896#1,4528.601428571428,4844.958571428571,22
-120588896#10,4474.77,5499.835,21
-120588896#11,4471.0,5549.68,26
-120588896#12,4470.355,5578.525,26
-120588896#2,4520.135,4928.33,21
-120588896#3,4513.65,5014.615,22
-120588896#4,4507.785,5086.59,22
-120588896#5,4502.03,5156.855,22
-120588896#6,4496.8,5222.705,21
-120588896#7,4493.96,5258.12,21
-120588896#8,4490.15,5307.63,21
-120588896#9,4482.295,5404.92,21
-120609071,3950.5,5350.02,21
-120609072,3669.7,5403.415,21
-120609073,3882.34,5344.595,21
-120609074#0,3731.54,5330.98,21
-120609074#1,3771.635,5334.95,21
-120609075#1,3785.146666666667,5389.096666666667,21
-120609078,3672.71,5334.1,21
-120609079#0,3750.07,5480.764999999999,21
-120609079#2,3784.123333333333,5481.343333333333,21
-120609080#0,3857.29,5397.32,21
-120609080#1,3890.26,5398.84,21
-120609081#0,3842.185,5383.865,21
-120609081#1,3840.735,5414.785,21
-120609082#0,3759.75,5492.31,26
-120609082#1,3760.92,5468.305,21
-120609082#3,3761.4366666666665,5439.733333333334,21
-120609083#0,3718.72,5456.139999999999,21
-120609083#1,3749.3,5457.83,21
-120609083#3,3785.29,5458.066666666667,21
-120609084#0,3725.3866666666654,5466.663333333333,21
-120609084#2,3739.69,5438.543333333333,21
-120609085#0,3909.655,5417.09,21
-120609085#1,3911.18,5388.475,21
-120609085#2,3913.785,5345.48,21
-120609087#0,3872.34,5385.505,21
-120609087#1,3870.53,5415.735000000001,21
-121653053#0,6198.335,5222.57,23
-121653053#1,6195.57,5181.745,23
-121653053#2,6179.705,5151.8675,23
-121653053#3,6171.555,5130.57,23
-121653053#4,6165.59,5109.855,23
-121653053#5,6160.375,5091.905000000001,23
-121653053#6,6151.799999999999,5062.995000000001,23
-121653054#0,6054.174999999999,4998.185,23
-121653054#1,6090.764999999999,4995.215,23
-121653054#2,6118.6900000000005,4991.655000000001,23
-121653054#3,6138.095,4985.955,23
-121653054#4,6163.473333333334,4972.776666666667,23
-121653054#5,6188.35,4966.96,23
-121653054#6,6214.54,4963.41,23
-121653054#7,6251.963333333333,4955.366666666667,23
-121653055#0,6496.452499999999,4905.13,24
-121653055#1,6448.313333333334,4906.763333333333,23
-121653055#2,6422.69,4915.133333333334,23
-121653055#3,6403.485000000001,4917.1900000000005,23
-121653055#4,6391.4400000000005,4918.27,23
-121653055#5,6369.73,4921.450000000001,23
-121653055#6,6338.505,4927.98,23
-121653055#7,6301.555,4936.29,23
-121653056#0,6461.295,5240.74,24
-121653056#1,6461.78,5203.465,24
-121653056#2,6453.610000000001,5160.4275,24
-121653056#3,6447.405,5126.59,23
-121653056#4,6450.246666666667,5096.183333333333,24
-121653057,6410.49,4868.24,23
-121653058,6354.17,4997.77,23
-121653059,6476.414,5095.072,23
-121653060,6142.525,5107.21,23
-121653061,6401.860000000001,5279.969999999999,23
-121653062,6485.490000000001,5231.92,24
-121653063,6116.17,5075.115,23
-121653064,5908.68,5097.915,23
-121653065,6435.51,5317.035,23
-121653066,6424.58,5254.155000000001,23
-121653067,6476.505,5164.2775,24
-121653069,6053.145,5048.17,23
-121653070,6227.74,5071.765,23
-121653071,5911.875,5128.8150000000005,23
-121653072,6345.625,4960.67,23
-121653073#0,6226.56,5189.98,23
-121653073#1,6207.755,5195.370000000001,23
-121653074,6402.8966666666665,5236.393333333333,23
-121653075#0,6407.12,5310.62,23
-121653075#1,6437.52,5302.725,23
-121653076,6326.03,5200.536666666667,23
-121653077,5887.563333333333,5129.53,23
-121653078#0,6267.655000000001,5114.165,23
-121653078#1,6286.76,5186.29,23
-121653080#1,5917.65,4952.298,23
-121653080#2,5922.205,5028.735,23
-121653081#0,6405.655,5194.215,23
-121653081#1,6368.5,5197.92,23
-121653082#0,6645.236666666667,5381.733333333334,24
-121653082#1,6593.06,5372.403333333333,24
-121653082#2,6551.04,5348.365,24
-121653082#3,6507.906666666667,5331.163333333333,24
-121653082#4,6486.836666666667,5322.466666666667,24
-121653082#5,6462.514999999999,5307.530000000001,23
-121653083,6053.263333333333,5090.68,23
-121653084#0,6386.049999999999,4994.395,23
-121653084#1,6399.975,4992.0,23
-121653085#0,6386.585,5119.82,23
-121653085#1,6357.135,5126.96,23
-121653086#0,6252.545,4987.635,23
-121653086#1,6260.625,5020.135,23
-121653087#1,5887.7266666666665,4941.003333333333,23
-121653088#0,5916.185,5049.305,23
-121653088#1,5902.355,5059.094999999999,23
-121653089,6260.03,5204.256666666667,23
-121653090#0,6434.844999999999,4888.75,23
-121653090#1,6436.13,4929.235,23
-121653091#1,6184.922500000001,4909.0925,23
-121653091#2,6209.629999999999,5002.895,23
-121653093#0,5932.76,5148.295,23
-121653093#1,5929.885,5110.27,23
-121653093#2,5928.485000000001,5080.33,23
-121653094#0,6462.24,5076.87,24
-121653094#1,6458.420000000001,5012.21,24
-121653095#1,6103.69,4912.1225,23
-121653095#2,6121.13,4976.975,23
-121653096#0,6116.0233333333335,5176.0,23
-121653096#1,6133.756666666667,5145.57,23
-121653097#1,6369.31,4975.355,23
-121653097#2,6363.795,4941.205,23
-121653098#0,6439.24,5217.23,23
-121653098#1,6415.705,5217.73,23
-121653098#2,6381.3,5222.15,23
